experiment_id,dataset,federated_round,global_model_round,timestamp_unix_ms,participant_count,aggregated_model_count,expected_models,aggregator_worker,selected_candidate,output_kind,gate_passed,parent_validation_loss,selected_validation_loss,validation_data_hash,accuracy_percent,exact_match_percent,loss,micro_f1,macro_f1,macro_auroc,sample_count,label_count,correct_predictions,total_predictions
phala,chestmnist,11,12,1788090383537,6,5,5,VM-5,multi_krum,candidate,True,0.3394842213093271,0.34195091495936897,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,86.20590838751583,26.287166228324345,0.34677196053177123,0.2621269927783077,0.1768929995799705,0.7069647071169413,22433,14,270740,314062
phala,chestmnist,12,13,1788090418532,6,5,5,VM-3,multi_krum,candidate,True,0.34195091495936897,0.3365189384511816,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,86.49279441638912,27.263406588507998,0.3422864294103081,0.26305091812448966,0.18187234465332244,0.7073242744668623,22433,14,271641,314062
phala,chestmnist,13,14,1788090455771,6,5,5,VM-5,multi_krum,candidate,True,0.3365189384511816,0.31949884433496467,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.28181059790742,27.891944902598848,0.324901934089447,0.2600818776281422,0.1793208449275722,0.7043897495089879,22433,14,274119,314062
phala,chestmnist,14,15,1788090495466,6,5,5,VM-0,multi_krum,candidate,True,0.31949884433496467,0.32134595572074587,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.03377040202253,27.32135692952347,0.3266259240375258,0.26107784431137726,0.1851426098558379,0.704810152471839,22433,14,273340,314062
phala,chestmnist,15,16,1788090535870,6,5,5,VM-0,multi_krum,candidate,True,0.32134595572074587,0.31946748148493326,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.62951264400023,30.9053626354032,0.32428867826531527,0.2634462623466738,0.17108313495715854,0.7094389431524168,22433,14,275211,314062
phala,chestmnist,16,17,1788090570534,6,5,5,VM-2,multi_krum,candidate,True,0.31946748148493326,0.3292152746865553,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,86.30939113932918,27.628939508759416,0.3339358468423497,0.2633589747982662,0.166741425478131,0.7062852221384464,22433,14,271065,314062
phala,chestmnist,17,18,1788090607430,6,5,5,VM-3,multi_krum,candidate,True,0.3292152746865553,0.3074332520235243,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.85462743025263,30.68693442696028,0.31293886654228215,0.2640555662743585,0.18673065947361436,0.701245508728162,22433,14,275918,314062
phala,chestmnist,18,19,1788090643099,6,5,5,VM-2,multi_krum,parent_fallback,False,0.3074332520235243,0.3261591322211685,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.85462743025263,30.68693442696028,0.31293886654228215,0.2640555662743585,0.18673065947361436,0.701245508728162,22433,14,275918,314062
phala,chestmnist,19,20,1788090681462,6,5,5,VM-5,fedavg,parent_fallback,False,0.3074332520235243,0.32750577549238513,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.85462743025263,30.68693442696028,0.31293886654228215,0.2640555662743585,0.18673065947361436,0.701245508728162,22433,14,275918,314062
phala,chestmnist,20,21,1788090718613,6,5,5,VM-4,multi_krum,parent_fallback,False,0.3074332520235243,0.3331341519170666,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.85462743025263,30.68693442696028,0.31293886654228215,0.2640555662743585,0.18673065947361436,0.701245508728162,22433,14,275918,314062
phala,chestmnist,21,22,1788090753524,6,5,5,VM-2,coordinate_median,parent_fallback,False,0.3074332520235243,0.3383405929674128,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.85462743025263,30.68693442696028,0.31293886654228215,0.2640555662743585,0.18673065947361436,0.701245508728162,22433,14,275918,314062
phala,chestmnist,22,23,1788090791178,6,5,5,VM-4,multi_krum,parent_fallback,False,0.3074332520235243,0.32881404257906877,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.85462743025263,30.68693442696028,0.31293886654228215,0.2640555662743585,0.18673065947361436,0.701245508728162,22433,14,275918,314062
phala,chestmnist,23,24,1788090826880,6,5,5,VM-5,multi_krum,parent_fallback,False,0.3074332520235243,0.32361155629198857,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,87.85462743025263,30.68693442696028,0.31293886654228215,0.2640555662743585,0.18673065947361436,0.701245508728162,22433,14,275918,314062
phala,chestmnist,24,25,1788090864355,6,5,5,VM-4,multi_krum,candidate,True,0.3074332520235243,0.32267878868824484,0xe4457c09ceeb203858e9b74232a4aa5b8852c623d85a63742a8751405d189d63,86.72746145665505,29.795390719030003,0.32831031544844314,0.26553194488494203,0.18470865890615829,0.7041662456384822,22433,14,272378,314062
